code,date,e_price,p2,p3,p4,rand,code2
N4F15,2014-12-05,47.2,47.2,47.2,47.2,10,385
N4F15,2014-12-08,46.56,46.56,46.51,46.56,20,525
N4F15,2014-12-09,46.64,46.64,46.64,46.64,0,485
N4F15,2014-12-10,46.53,46.53,46.53,46.53,0,485
N4F15,2014-12-11,46.05,46.05,45.98,45.98,10,475
N4F15,2014-12-12,46.19,46.19,46.19,46.19,0,475
N4F15,2014-12-15,45.8,45.8,45.63,45.63,10,495
N4F15,2014-12-16,45.66,45.66,45.66,45.66,0,495
N4G15,2014-12-17,46.38,46.38,46.38,46.38,10,505
N4G15,2014-12-18,46.49,46.49,46.49,46.49,0,505
N4G15,2014-12-19,46.17,46.17,46.17,46.17,0,535
N4G15,2014-12-22,45.79,45.79,45.79,45.79,0,535
N4G15,2014-12-23,45.99,45.99,45.99,45.99,0,520
N4G15,2014-12-24,46.91,46.91,46.91,46.91,0,520
N4G15,2014-12-26,46.91,46.91,46.91,46.91,0,520
N4G15,2014-12-29,44.9,45.06,44.9,44.9,0,520
N4G15,2014-12-30,43.87,43.87,43.87,43.87,0,520
N4G15,2014-12-31,43.69,43.69,43.69,43.69,0,520
N4G15,2015-01-02,42.11,42.11,42.11,42.11,0,520
N4G15,2015-01-05,41.63,41.63,41.63,41.63,0,520
N4G15,2015-01-06,41.6,41.6,40.36,40.36,20,540
N4G15,2015-01-07,40.5,40.5,40.27,40.27,15,610
N4G15,2015-01-08,40.24,40.24,40.24,40.24,0,565
N4G15,2015-01-09,40.75,40.75,40.16,40.16,5,1045
N4G15,2015-01-12,40.47,40.47,40.47,40.47,0,1045
N4G15,2015-01-13,41.49,41.49,41.49,41.49,0,1075
N4G15,2015-01-14,41.58,41.58,41.58,41.58,0,1135
N4G15,2015-01-15,41,41,40.9,40.9,30,1195
N4G15,2015-01-16,39.95,39.95,39.85,39.85,10,1205
N4G15,2015-01-19,38.75,38.75,38.75,38.75,0,1205
N4G15,2015-01-20,38.55,38.55,38.5,38.5,10,1205
N4G15,2015-01-21,39.19,39.19,39.19,39.19,0,1205
N4G15,2015-01-22,38.98,38.98,38.98,38.98,0,1290
N4G15,2015-01-26,38.9,39.05,38.9,38.93,50,1455
N4G15,2015-01-27,39.39,39.39,39.39,39.39,0,1455
N4G15,2015-01-28,40.09,40.09,40.09,40.09,0,1485
N4H15,2015-01-29,40.15,40.15,40.15,40.15,0,1320
N4H15,2015-01-30,39.31,39.31,39.31,39.31,0,1320
N4H15,2015-02-02,39.43,39.43,39.43,39.43,0,1320
N4H15,2015-02-03,39.24,39.24,39.24,39.24,0,1320
N4H15,2015-02-04,39.31,39.42,39.31,39.39,30,1330
N4H15,2015-02-05,39.25,40.83,39.25,40.83,15,1375
N4H15,2015-02-06,40.23,40.23,40.23,40.23,0,1375
N4H15,2015-02-09,40.1,40.1,40.1,40.1,120,1485
N4H15,2015-02-10,42.19,42.19,41.9,41.9,120,1570
N4H15,2015-02-11,42.87,42.87,42.87,42.87,20,1600
N4H15,2015-02-12,45.02,45.02,45.02,45.02,0,1635
N4H15,2015-02-13,44.2,44.2,44.2,44.2,0,1635
N4H15,2015-02-16,42.3,42.39,42.3,42.39,30,1665
N4H15,2015-02-17,42.2,42.2,41.96,42.09,80,1655
N4H15,2015-02-18,42.45,42.6,41.64,41.64,110,1630
N4H15,2015-02-19,41.2,41.2,40.49,40.49,50,1640
N4H15,2015-02-20,40.7,41.05,40.7,41.05,90,1640
N4H15,2015-02-23,40.33,40.33,40.33,40.33,0,1655
N4H15,2015-02-24,40.01,41.45,40.01,41.09,85,1640
N4H15,2015-02-25,42.43,42.54,42.43,42.54,25,1710
N4J15,2015-02-26,45.1,45.1,45.1,45.1,0,1775
N4J15,2015-02-27,45.11,45.11,44.85,44.85,10,1800
N4J15,2015-03-02,43.92,43.92,43.92,43.92,0,1890
N4J15,2015-03-03,43.39,43.39,43.39,43.39,0,1890
N4J15,2015-03-04,43.65,43.65,43.65,43.65,15,2115
N4J15,2015-03-05,44,44.05,43,43.12,25,2085
N4J15,2015-03-06,41.99,42.22,41.99,42.22,15,2255
N4J15,2015-03-09,42.84,42.99,42.84,42.92,20,2305
N4J15,2015-03-10,42.65,42.65,42.57,42.57,15,2350
N4J15,2015-03-11,43.1,43.1,43.1,43.1,0,2370
N4J15,2015-03-12,43.1,43.1,42.78,42.78,5,2375
N4J15,2015-03-13,42.58,42.58,42.58,42.58,0,2425
N4J15,2015-03-16,42.43,42.43,42.43,42.43,0,2425
N4J15,2015-03-17,42.5,42.5,42.45,42.45,10,2425
N4J15,2015-03-18,42.7,42.89,42.7,42.89,5,2420
N4J15,2015-03-19,42.57,42.57,42.57,42.57,0,2420
N4J15,2015-03-20,42.5,42.5,42.5,42.5,0,2450
N4J15,2015-03-23,42.6,42.6,42.6,42.6,0,2540
N4J15,2015-03-24,43.17,43.17,43.17,43.17,0,2720
N4J15,2015-03-25,43.2,43.2,43.2,43.2,15,2720
N4J15,2015-03-26,44.41,44.41,44.41,44.41,0,2660
N4K15,2015-03-27,43.76,43.76,43.76,43.76,80,2660
N4K15,2015-03-30,43.95,43.95,43.95,43.95,0,2550
N4K15,2015-03-31,43.71,43.71,43.71,43.71,0,2610
N4K15,2015-04-01,44.12,44.12,44.12,44.12,0,2610
N4K15,2015-04-02,44.2,44.32,44.2,44.32,10,2620
N4K15,2015-04-06,44.32,44.32,44.32,44.32,0,2620
N4K15,2015-04-07,43.59,43.59,43.59,43.59,0,2620
N4K15,2015-04-08,43.25,43.25,43.25,43.25,0,2620
N4K15,2015-04-09,43.66,43.66,43.66,43.66,10,2625
N4K15,2015-04-10,43.31,43.31,43.31,43.31,0,2625
N4K15,2015-04-13,43.18,43.18,43.18,43.18,0,2625
N4K15,2015-04-14,42.72,42.72,42.72,42.72,0,2625
N4K15,2015-04-15,42.91,42.91,42.91,42.91,0,2625
N4K15,2015-04-16,42.66,42.66,42.66,42.66,0,2625
N4K15,2015-04-17,42.37,42.37,42.37,42.37,0,2625
N4K15,2015-04-20,42.1,42.1,42.1,42.1,0,2655
N4K15,2015-04-21,42.42,42.42,42.42,42.42,0,2715
N4K15,2015-04-22,42.08,42.08,42.08,42.08,0,2715
N4K15,2015-04-23,41.91,41.91,41.91,41.91,0,2745
N4K15,2015-04-24,42.08,42.08,42.08,42.08,5,2780
N4M15,2015-04-27,41.31,41.31,41.31,41.31,10,2770
N4M15,2015-04-28,41.41,41.41,41.41,41.41,0,2770
N4M15,2015-04-29,41.49,41.49,41.49,41.49,0,2740
N4M15,2015-04-30,41.4,41.4,41.4,41.4,0,2740
N4M15,2015-05-01,41.2,41.2,41.2,41.2,0,2695
N4M15,2015-05-04,41.2,41.2,41.2,41.2,0,2695
N4M15,2015-05-05,41.11,41.11,41.11,41.11,0,2710
N4M15,2015-05-06,41.33,41.33,41.33,41.33,10,2725
N4M15,2015-05-07,41.3,41.3,41.12,41.12,45,2760
N4M15,2015-05-08,40.97,40.97,40.97,40.97,5,2765
N4M15,2015-05-11,41.15,41.37,41.15,41.37,5,2730
N4M15,2015-05-12,41.5,41.5,41.41,41.41,5,2745
N4M15,2015-05-13,41.6,41.6,41.47,41.47,15,2730
N4M15,2015-05-14,41.06,41.06,41.06,41.06,0,2730
N4M15,2015-05-15,41.3,41.3,41.3,41.3,0,2730
N4M15,2015-05-18,41.04,41.04,41.04,41.04,0,2730
N4M15,2015-05-19,40.9,40.96,40.9,40.96,5,2755
N4M15,2015-05-20,40.92,40.92,40.92,40.92,0,2815
N4N15,2015-05-21,40.79,40.79,40.79,40.79,25,2890
N4N15,2015-05-22,40.73,40.73,40.73,40.73,0,2890
N4N15,2015-05-25,40.73,40.73,40.73,40.73,0,2890
N4N15,2015-05-26,40.6,40.6,40.6,40.6,0,2890
N4N15,2015-05-27,40.5,40.5,40.5,40.5,0,2895
N4N15,2015-05-28,40.83,40.83,40.83,40.83,0,2840
N4N15,2015-05-29,40.97,40.97,40.97,40.97,0,2840
N4N15,2015-06-01,40.5,40.5,40.5,40.5,0,2850
N4N15,2015-06-02,40.7,40.82,40.7,40.82,25,2825
